IPTV直播,#genre#
中天新闻,http://192.200.108.130:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
东森新闻,http://192.154.103.74:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
年代新闻,http://192.200.108.130:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
东森电影,http://192.200.108.130:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
中天亚洲,http://192.200.108.130:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
中天综合,http://192.200.108.130:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
TVB星河,lwb://live2.ocnttv.com:4002/live1/discoverykxhd1/list.m3u8
华视综合,http://192.200.108.130:8080/ZZ_huashi/ZZ_huashi.m3u8
中视综合,http://192.200.108.130:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
好莱坞电影,http://192.200.108.130:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
动物星球,http://192.200.108.130:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
华纳,http://192.200.108.130:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
国家地理,http://192.200.108.130:8080/ZZ_hbo/ZZ_hbo.m3u8
FOX 电影,http://192.200.108.130:8080/ZZ_foxaction/ZZ_foxaction.m3u8
CCTV風雲足球,vjms://23.237.33.155:8500:3502/live/cid=88
民視HD,vjms://23.237.33.155:8500:3502/live/cid=450
華視HD,vjms://23.237.33.155:8500:3502/live/cid=451
中視HD,vjms://23.237.33.155:8500:3502/live/cid=452
臺視HD,vjms://23.237.33.155:8500:3502/live/cid=453
公視3HD,vjms://23.237.33.155:8500:3502/live/cid=436
大愛,vjms://23.237.33.155:8500:3502/live/cid=442
壹新闻,vjms://23.237.33.155:8500:3502/live/cid=445
好消息2,vjms://23.237.33.155:8500:3502/live/cid=447
鳳凰中文,vjms://23.237.33.155:8500:3502/live/cid=400
鳳凰資訊,vjms://23.237.33.155:8500:3502/live/cid=401
澳亞衛視,vjms://23.237.33.155:8500:3502/live/cid=337
民視新聞,vjms://23.237.33.155:8500:3502/live/cid=454
年代MUCH,vjms://23.237.33.155:8500:3502/live/cid=439
年代新聞,vjms://23.237.33.155:8500:3502/live/cid=455
东森新聞,vjms://23.237.33.155:8500:3502/live/cid=340
中天新聞,vjms://23.237.33.155:8500:3502/live/cid=407
非凡新聞,vjms://23.237.33.155:8500:3502/live/cid=443
华视新闻,vjms://23.237.33.155:8500:3502/live/cid=451
緯來日本,vjms://23.237.33.155:8500:3502/live/cid=102
緯來體育,vjms://23.237.33.155:8500:3502/live/cid=202
緯來綜合,vjms://23.237.33.155:8500:3502/live/cid=397
緯來戲劇,vjms://23.237.33.155:8500:3502/live/cid=137
東森綜合,vjms://23.237.33.155:8500:3502/live/cid=333
東森電影,vjms://23.237.33.155:8500:3502/live/cid=338
東森洋片,vjms://23.237.33.155:8500:3502/live/cid=343
東森幼幼,vjms://23.237.33.155:8500:3502/live/cid=344
東森戲劇,vjms://23.237.33.155:8500:3502/live/cid=425
東森超視,vjms://23.237.33.155:8500:3502/live/cid=426
中天綜合,vjms://23.237.33.155:8500:3502/live/cid=341
中天娛樂,vjms://23.237.33.155:8500:3502/live/cid=350
八大綜合,vjms://23.237.33.155:8500:3502/live/cid=354
八大第一,vjms://23.237.33.155:8500:3502/live/cid=441
八大戏剧,vjms://23.237.33.155:8500:3502/live/cid=110
三立新闻,vjms://23.237.33.155:8500:3502/live/cid=352
三立都會,vjms://23.237.33.155:8500:3502/live/cid=226
三立臺湾,vjms://23.237.33.155:8500:3502/live/cid=437
博斯高球,vjms://23.237.33.155:8500:3502/live/cid=265
國興衛視,vjms://23.237.33.155:8500:3502/live/cid=424
迪士尼卡通,vjms://23.237.33.155:8500:3502/live/cid=361
衛視電影臺,vjms://23.237.33.155:8500:3502/live/cid=101
松视1,vjms://23.237.33.155:8500:3502/live/cid=262
松视2,vjms://23.237.33.155:8500:3502/live/cid=267
松视3,vjms://23.237.33.155:8500:3502/live/cid=268
法國國際五臺,vjms://23.237.33.155:8500:3502/live/cid=396
東森財經新闻,vjms://23.237.33.155:8500:3502/live/cid=456
國家地理HD,vjms://23.237.33.155:8500:3502/live/cid=115
國家地理野生,vjms://23.237.33.155:8500:3502/live/cid=263
AXN,vjms://23.237.33.155:8500:3502/live/cid=2
BBC,vjms://23.237.33.155:8500:3502/live/cid=418
CNN,vjms://23.237.33.155:8500:3502/live/cid=428
NBA,vjms://23.237.33.155:8500:3502/live/cid=227
MLB,vjms://23.237.33.155:8500:3502/live/cid=228
CNBC,vjms://23.237.33.155:8500:3502/live/cid=98
FOX1,vjms://23.237.33.155:8500:3502/live/cid=97
FOX2,vjms://23.237.33.155:8500:3502/live/cid=444
FOX3,vjms://23.237.33.155:8500:3502/live/cid=95
CN卡通,vjms://23.237.33.155:8500:3502/live/cid=422
JET綜合,vjms://23.237.33.155:8500:3502/live/cid=339
TVB J2,vjms://23.237.33.155:8500:3502/live/cid=368
TVB J5,vjms://23.237.33.155:8500:3502/live/cid=363
TVB明珠臺,vjms://23.237.33.155:8500:3502/live/cid=367
TVB翡翠臺,vjms://23.237.33.155:8500:3502/live/cid=362
TVB无线新闻臺,vjms://23.237.33.155:8500:3502/live/cid=366
HBOHD,vjms://23.237.33.155:8500:3502/live/cid=261
HBO原创,vjms://23.237.33.155:8500:3502/live/cid=236
HBO強檔,vjms://23.237.33.155:8500:3502/live/cid=238
HBO溫馨,vjms://23.237.33.155:8500:3502/live/cid=181
TVBS HD,vjms://23.237.33.155:8500:3502/live/cid=349
TVBS新聞臺,vjms://23.237.33.155:8500:3502/live/cid=348
TVBS歡樂臺,vjms://23.237.33.155:8500:3502/live/cid=438
ELTA體育HD,vjms://23.237.33.155:8500:3502/live/cid=266
TLC旅游生活,vjms://23.237.33.155:8500:3502/live/cid=103
StarMovies,vjms://23.237.33.155:8500:3502/live/cid=94
BOOMERANG,vjms://23.237.33.155:8500:3502/live/cid=332
DiscoveryAsia,vjms://23.237.33.155:8500:3502/live/cid=440
DiscoveryScience,vjms://23.237.33.155:8500:3502/live/cid=457
DiscoveryChannel,vjms://23.237.33.155:8500:3502/live/cid=3
